Datum,Točke,Ime,Država,Dolžina [km],Hitrost [km/h],Klub,Letalo,Vzlet,Pristanek,Letališče
31.08.2017,115.55,Jure Sirok,SI,81.3,51.24,AK Edvard Rusjan,L 13 Blanik,11:55,13:41,Ajdovščina
15.08.2017,175.14,Sandi Stanic,SI,163.82,62.43,AK Edvard Rusjan,SZD 55,13:05,15:51,Ajdovščina
15.08.2017,150.7,Aljaž Ogrin,SI,102.85,43.9,AK Josip Krizaj Ajdovscina,L 23 Super Blanik,11:54,14:39,Ajdovščina
15.08.2017,147.97,Darjo Gregoric,SI,116.64,55.02,AK Edvard Rusjan,Twin Astir RG,12:33,15:14,Ajdovščina
01.08.2017,152.25,Aljaž Ogrin,SI,104.78,48.42,AK Josip Krizaj Ajdovscina,L 13 Blanik,11:51,14:34,Ajdovščina
28.07.2017,0.0,Aljaž Ogrin,SI,218.66,48.81,AK Josip Krizaj Ajdovscina,DG 100,10:57,15:38,Ajdovščina
19.07.2017,0.0,Aljaž Ogrin,SI,171.02,52.66,AK Josip Krizaj Ajdovscina,DG 100,10:59,14:53,Ajdovščina
08.07.2017,0.0,Aljaž Ogrin,SI,69.19,39.54,AK Josip Krizaj Ajdovscina,DG 100,13:15,15:33,Ajdovščina
05.07.2017,0.0,Jure Sirok,SI,71.41,28.29,AK Edvard Rusjan,L 13 Blanik,11:14,14:13,Ajdovščina
05.07.2017,0.0,Črtomir Pavlin,SI,118.22,38.79,AK Edvard Rusjan,Twin Astir RG,11:29,14:52,Ajdovščina
26.06.2017,241.93,Darjo Gregoric,SI,227.8,57.67,AK Edvard Rusjan,Discus,10:55,15:08,Ajdovščina
26.06.2017,233.7,Sandi Stanic,SI,218.07,54.18,AK Edvard Rusjan,SZD 55,10:42,14:58,Ajdovščina
19.06.2017,271.81,Robert Fiorelli,SI,247.85,52.35,AK Edvard Rusjan,SZD 55,09:43,15:19,Ajdovščina
19.06.2017,250.54,Sandi Stanic,SI,238.77,47.16,AK Edvard Rusjan,Discus,09:58,15:25,Ajdovščina
11.06.2017,252.92,Darjo Gregoric,SI,230.55,53.56,AK Edvard Rusjan,SZD 55,11:27,16:04,Ajdovščina
11.06.2017,234.52,Sandi Stanic,SI,214.99,54.44,AK Edvard Rusjan,Discus,11:45,15:52,Ajdovščina
11.06.2017,195.57,Črtomir Pavlin,SI,197.08,66.54,AK Edvard Rusjan,LAK 12,12:28,15:47,Ajdovščina
08.06.2017,132.96,Robert Fiorelli,SI,132.53,47.45,AK Edvard Rusjan,SZD 55,11:54,14:55,Ajdovščina
02.06.2017,219.79,Črtomir Pavlin,SI,234.45,74.51,AK Edvard Rusjan,LAK 12,11:57,15:31,Ajdovščina
02.06.2017,74.6,Rok Kaver,SI,67.7,64.48,AK Edvard Rusjan,Twin Astir RG,11:41,12:50,Ajdovščina
